model,dataset,metric,rmin,rmax,is_canon,n,raw_mean,raw_std,norm_mean,norm_std,norm_skew,norm_ent,pct_int,pct_min,pct_max,n_uniq
gpt54,wp_a,gra,1,3,False,400,2.0995,0.4498885973216036,0.54975,0.2249442986608018,-0.0181358280045015,2.304139418610295,35.75,0.75,3.75,19
gpt54,wp_a,gra,1,5,True,400,3.25875,0.9266463389556988,0.5646875,0.2316615847389247,-0.2385442626781811,1.7723368320324668,70.75,0.5,2.25,9
gpt54,wp_a,gra,0,10,False,400,6.599000000000001,1.879667257787931,0.6598999999999999,0.1879667257787931,-0.6189415930998484,2.6798697973572034,27.0,0.0,0.0,33
gpt54,wp_a,gra,0,100,False,400,72.1175,17.944600685164325,0.7211749999999999,0.1794460068516432,-0.7752156650726401,3.310873013114678,100.0,0.0,0.0,65
gpt54,wp_a,rel,0,1,False,399,0.1912781954887218,0.3108096312341715,0.1912781954887218,0.3108096312341715,1.6097156223957536,2.2053687679040204,57.14,53.88,3.26,60
gpt54,wp_a,rel,1,3,False,397,1.7025188916876577,0.7790025934328423,0.3512594458438287,0.3895012967164211,0.5654629802231123,2.1999627547766543,57.93,39.8,12.59,19
gpt54,wp_a,rel,1,5,True,398,2.367336683417085,1.541645809262666,0.3418341708542713,0.3854114523156665,0.6319421618590774,1.7860975192517552,79.4,40.7,12.06,12
gpt54,wp_a,rel,0,10,False,399,3.641353383458647,3.460405349940535,0.3641353383458646,0.3460405349940534,0.6267459218756884,2.630465842408912,48.87,21.05,2.01,33
gpt54,wp_a,rel,0,100,False,399,36.86967418546366,36.79323869515031,0.3686967418546366,0.3679323869515031,0.6205605022405579,3.0592854800319405,100.0,7.77,1.0,58
opus47,summeval,coh,0,1,False,1584,0.7094381313131313,0.1864175826247608,0.7094381313131313,0.1864175826247608,-0.9629391116580676,1.793872413085886,0.13,0.0,0.13,11
opus47,summeval,coh,1,3,False,1584,2.415467171717172,0.4325247805513468,0.7077335858585858,0.2162623902756734,-0.5612294367749041,1.819945047412134,44.82,0.82,20.45,17
opus47,summeval,coh,1,5,True,1584,3.6090277777777775,1.0672172178790436,0.6522569444444446,0.2668043044697609,-0.3938703719508686,1.865411189018732,70.33,0.32,15.47,17
opus47,summeval,coh,0,10,False,1584,6.746843434343434,1.9055150250892092,0.6746843434343435,0.1905515025089209,-0.9389283692782672,2.070757573358044,20.2,0.0,0.0,17
opus47,summeval,coh,0,100,False,1584,67.99968434343434,16.577426804115756,0.6799968434343434,0.1657742680411575,-0.871090220364327,2.3026764254940915,99.81,0.0,0.0,25
opus47,summeval,con,0,1,False,1566,0.902618135376756,0.2196003359829589,0.902618135376756,0.2196003359829589,-2.2908863089788736,0.982764824068504,78.16,0.06,78.1,11
opus47,summeval,con,1,3,False,1566,2.759003831417625,0.5459522747639493,0.8795019157088121,0.2729761373819746,-2.18856595521115,0.899975571239598,91.12,4.85,80.2,17
opus47,summeval,con,1,5,True,1566,4.452809706257982,1.1647884819665244,0.8632024265644956,0.2911971204916311,-1.7976814754587431,0.6768246467354423,99.55,2.04,80.14,9
opus47,summeval,con,0,10,False,1566,8.922733077905491,2.2922840620694185,0.8922733077905491,0.2292284062069418,-1.88172559853212,1.2403176312621829,93.61,0.0,72.61,20
opus47,summeval,con,0,100,False,1564,89.61828644501279,53.019100434413936,0.8961828644501278,0.5301910043441393,30.530126004914138,0.7153591242626809,100.0,0.0,53.58,23
opus47,summeval,flu,0,1,False,1592,0.7821293969849247,0.1399234386496986,0.7821293969849247,0.1399234386496986,-1.3258152953143043,1.639198757047857,2.7,0.0,2.7,11
opus47,summeval,flu,1,3,False,1592,2.643718592964824,0.4303186165678338,0.8218592964824121,0.2151593082839169,-1.1839608132771782,1.4643435887996732,59.48,0.25,47.55,13
opus47,summeval,flu,1,5,True,1592,4.006595477386934,0.9161315145432696,0.7516488693467337,0.2290328786358174,-0.8119141798910543,1.686042772519722,75.94,0.06,26.88,14
opus47,summeval,flu,0,10,False,1600,7.7025,1.3175237189515794,0.7702500000000001,0.1317523718951579,-1.7949037713805902,1.8078482232875004,26.25,0.0,0.0,16
opus47,summeval,flu,0,100,False,1600,73.778125,12.57289332191978,0.7377812499999998,0.1257289332191978,-1.4167905106303276,1.911857533015572,100.0,0.0,0.0,24
opus47,summeval,rel,0,1,False,1552,0.6942654639175257,0.14372386052987,0.6942654639175257,0.14372386052987,-1.3202377568162686,1.6073574789833016,0.0,0.0,0.0,9
opus47,summeval,rel,1,3,False,1552,2.397487113402061,0.4596055287983129,0.6987435567010309,0.2298027643991564,-0.3953186822347113,1.5246576565109429,61.92,2.0,24.94,12
opus47,summeval,rel,1,5,True,1552,3.624355670103093,0.9555047229399934,0.6560889175257731,0.2388761807349983,-0.6526877867436571,1.3768445232835076,96.46,1.03,13.08,12
opus47,summeval,rel,0,10,False,1552,6.406443298969072,1.6572154727354114,0.6406443298969072,0.1657215472735411,-1.1863344416651307,2.022976742709925,80.99,0.0,0.0,16
opus47,summeval,rel,0,100,False,1552,66.85953608247422,13.53716197819749,0.6685953608247421,0.1353716197819749,-1.320718121481171,2.1357071909819028,100.0,0.0,0.0,21
opus47,newsroom,coh,0,1,False,420,0.3635714285714285,0.2616460843761812,0.3635714285714285,0.2616460843761812,0.54121333916419,2.1042072203398696,5.48,5.48,0.0,10
opus47,newsroom,coh,1,3,False,420,1.6226190476190476,0.6457095009655567,0.3113095238095238,0.3228547504827783,0.6253218514217698,1.6286936458554409,67.38,40.0,6.19,10
opus47,newsroom,coh,1,5,True,420,2.039285714285714,1.098810813598789,0.2598214285714286,0.2747027033996972,1.174754991531466,1.5669964998400894,87.86,32.62,3.57,9
opus47,newsroom,coh,0,10,False,420,3.423809523809524,2.412547509900757,0.3423809523809524,0.2412547509900757,0.8507145746059371,2.372926314336495,60.95,0.71,0.0,17
opus47,newsroom,coh,0,100,False,420,34.68571428571428,24.561318518087315,0.3468571428571428,0.2456131851808731,0.5745826979463895,2.701950153945995,100.0,0.48,0.0,22
opus47,newsroom,flu,0,1,False,406,0.4671182266009852,0.2851562890331899,0.4671182266009852,0.2851562890331899,0.2973162006526092,2.173761097277883,2.22,1.48,0.74,12
opus47,newsroom,flu,1,3,False,416,1.7937500000000002,0.6970469130829441,0.396875,0.348523456541472,0.4731495974683958,1.9942260747166107,46.63,21.88,12.5,14
